"Fecha","Dolar"
2018-01-14,18.95675
2018-01-15,18.908375
2018-01-16,18.86
2018-01-17,18.628
2018-01-18,18.6545
2018-01-19,18.587
2018-01-20,18.6388333333333
2018-01-21,18.6906666666667
2018-01-22,18.7425
2018-01-23,18.7665
2018-01-24,18.5315
2018-01-25,18.488
2018-01-26,18.508
2018-01-27,18.5345
2018-01-28,18.561
2018-01-29,18.5875
2018-01-30,18.695
2018-01-31,18.6215
2018-02-01,18.36
2018-02-02,18.5465
2018-02-03,18.5618333333333
2018-02-04,18.5771666666667
2018-02-05,18.5925
2018-02-06,18.694
2018-02-07,18.645
2018-02-08,18.901
2018-02-09,18.8815
2018-02-10,18.801
2018-02-11,18.7205
2018-02-12,18.64
2018-02-13,18.6325
2018-02-14,18.6035
2018-02-15,18.5195
2018-02-16,18.478
2018-02-17,18.51825
2018-02-18,18.5585
2018-02-19,18.59875
2018-02-20,18.639
2018-02-21,18.661
2018-02-22,18.645
2018-02-23,18.5585
2018-02-24,18.5903333333333
2018-02-25,18.6221666666667
2018-02-26,18.654
2018-02-27,18.8068
2018-02-28,18.8405
2018-03-01,18.8115
2018-03-02,18.8455
2018-03-03,18.8515
2018-03-04,18.8575
2018-03-05,18.8635
2018-03-06,18.7365
2018-03-07,18.8055
2018-03-08,18.704
2018-03-09,18.567
2018-03-10,18.5861666666667
2018-03-11,18.6053333333333
2018-03-12,18.6245
2018-03-13,18.5425
2018-03-14,18.6035
2018-03-15,18.7
2018-03-16,18.73
2018-03-17,18.7308333333333
2018-03-18,18.7316666666667
2018-03-19,18.7325
2018-03-20,18.7465
2018-03-21,18.593
2018-03-22,18.53
2018-03-23,18.5705
2018-03-24,18.477
2018-03-25,18.3835
2018-03-26,18.29
2018-03-27,18.32
2018-03-28,18.26
2018-03-29,18.2385
2018-03-30,18.1676
2018-03-31,18.2154
2018-04-01,18.2632
2018-04-02,18.311
2018-04-03,18.1955
2018-04-04,18.231
2018-04-05,18.127
2018-04-06,18.329
2018-04-07,18.2941666666667
2018-04-08,18.2593333333333
2018-04-09,18.2245
2018-04-10,18.2715
2018-04-11,18.221
2018-04-12,18.151
2018-04-13,18.0795
2018-04-14,18.0613333333333
2018-04-15,18.0431666666667
2018-04-16,18.025
2018-04-17,17.9705
2018-04-18,18.0355
2018-04-19,18.3355
2018-04-20,18.6145
2018-04-21,18.708
2018-04-22,18.8015
2018-04-23,18.895
2018-04-24,18.795
2018-04-25,19.02
2018-04-26,18.8695
2018-04-27,18.6675
2018-04-28,18.7021666666667
2018-04-29,18.7368333333333
2018-04-30,18.7715
2018-05-01,18.8325
2018-05-02,19.073
2018-05-03,19.1125
2018-05-04,19.1965
2018-05-05,19.2803333333333
2018-05-06,19.3641666666667
2018-05-07,19.448
2018-05-08,19.611
2018-05-09,19.5165
2018-05-10,19.302
2018-05-11,19.365
2018-05-12,19.4128333333333
2018-05-13,19.4606666666667
2018-05-14,19.5085
2018-05-15,19.716
2018-05-16,19.73
2018-05-17,19.74
2018-05-18,19.932
2018-05-19,19.917
2018-05-20,19.902
2018-05-21,19.887
2018-05-22,19.714
2018-05-23,19.773
2018-05-24,19.7175
2018-05-25,19.544
2018-05-26,19.592
2018-05-27,19.64
2018-05-28,19.688
2018-05-29,19.736
2018-05-30,19.7
2018-05-31,20.0005
2018-06-01,19.8585
2018-06-02,19.901
2018-06-03,19.9435
2018-06-04,19.986
2018-06-05,20.372
2018-06-06,20.269
2018-06-07,20.492
2018-06-08,20.4905
2018-06-09,20.5023333333333
2018-06-10,20.5141666666667
2018-06-11,20.526
2018-06-12,20.6127
2018-06-13,20.5919
2018-06-14,20.67
2018-06-15,20.645
2018-06-16,20.65
2018-06-17,20.655
2018-06-18,20.66
2018-06-19,20.508
2018-06-20,20.361
2018-06-21,20.391
2018-06-22,20.1025
2018-06-23,20.1043333333333
2018-06-24,20.1061666666667
2018-06-25,20.108
2018-06-26,19.8635
2018-06-27,20.056
2018-06-28,19.83
2018-06-29,19.6495
2018-06-30,19.8226666666667
2018-07-01,19.9958333333333
2018-07-02,20.169
2018-07-03,19.566
2018-07-04,19.40575
2018-07-05,19.2455
2018-07-06,19.0655
2018-07-07,19.0986666666667
2018-07-08,19.1318333333333
2018-07-09,19.165
2018-07-10,19.0165
2018-07-11,18.9955
2018-07-12,18.7855
2018-07-13,18.8845
2018-07-14,18.8705
2018-07-15,18.8565
2018-07-16,18.8425
2018-07-17,18.8715
2018-07-18,18.886
2018-07-19,19.0555
2018-07-20,19.0975
2018-07-21,19.0885
2018-07-22,19.0795
2018-07-23,19.0705
2018-07-24,18.849
2018-07-25,18.799
2018-07-26,18.6375
2018-07-27,18.5595
2018-07-28,18.5521666666667
2018-07-29,18.5448333333333
2018-07-30,18.5375
2018-07-31,18.598
2018-08-01,18.6255
2018-08-02,18.627
2018-08-03,18.5725
