"Semana","Temporada","Clave_producto","Precio_semanal"
"46","2016-2017",341001,100
"46","2016-2017",390204,280
"46","2016-2017",430309,140
"46","2017-2018",10201,111.912208629766
"46","2017-2018",10204,346.778954378954
"46","2017-2018",61301,112.391335883874
"46","2017-2018",210401,323.104763425603
"46","2017-2018",210402,444.860585680258
"46","2017-2018",210404,923.296175467692
"46","2017-2018",221201,127.891561601667
"46","2017-2018",230202,159.495450120864
"46","2017-2018",341001,117.04277351875
"46","2017-2018",470201,116.51198022242
"46","2017-2018",480204,330.30515622005
"47","2013-2014",10201,81.3272416927988
"47","2013-2014",30201,81.1792786565842
"47","2014-2015",10201,73.2336939870004
"47","2014-2015",10204,160
"47","2014-2015",61301,80
"47","2014-2015",70301,108.333333333333
"47","2014-2015",90301,108.333333333333
"47","2014-2015",101001,80
"47","2014-2015",120301,109.166666666667
"47","2014-2015",160202,170
"47","2014-2015",170201,45
"47","2014-2015",190301,109.554418629266
"47","2014-2015",200202,90
"47","2014-2015",210401,236.666666666667
"47","2014-2015",221201,81
"47","2014-2015",230202,156.585714012287
"47","2015-2016",10201,67.4241512517865
"47","2015-2016",10204,252.982456140351
"47","2015-2016",61301,75.6181479200876
"47","2015-2016",101001,75
"47","2015-2016",120301,105.490054363196
"47","2015-2016",130201,40
"47","2015-2016",140201,40
"47","2015-2016",210401,220
"47","2015-2016",210402,440.433333333333
"47","2015-2016",210404,1169.27083333333
"47","2015-2016",221201,73.0061718227075
"47","2015-2016",230202,135
"47","2015-2016",330202,145.311936033173
"47","2015-2016",341001,75
"47","2016-2017",10201,93.7838622090872
"47","2016-2017",61301,95.690537084399
"47","2016-2017",90301,140
"47","2016-2017",130201,50
"47","2016-2017",140201,50
"47","2016-2017",210401,272.505199389922
"47","2016-2017",210402,472.910569105691
"47","2016-2017",210404,700
"47","2016-2017",221201,85.7977741371093
"47","2016-2017",230202,155.822342491315
"47","2016-2017",330202,163.632567849687
"47","2016-2017",341001,92.34004687039
"47","2016-2017",390204,266.666666666667
"47","2016-2017",420201,92.5
"47","2016-2017",430309,140
"47","2017-2018",10201,107.294414260294
"47","2017-2018",10204,347.994372990354
"47","2017-2018",61301,99.7436670687575
"47","2017-2018",70301,170
"47","2017-2018",101001,96.5381526104418
"47","2017-2018",120301,145.446428571429
"47","2017-2018",210401,336.603727578534
"47","2017-2018",210402,438.571428571429
"47","2017-2018",210404,955.712768539711
"47","2017-2018",221201,117.745098065382
"47","2017-2018",230202,157.468214486522
"47","2017-2018",341001,107.773650098699
"47","2017-2018",470201,107.386749762296
"47","2017-2018",480204,340.526767792029
"48","2013-2014",10201,61.417837626854
"48","2013-2014",30201,59.9386504034429
"48","2014-2015",10201,70.4437455286016
"48","2014-2015",10204,159.833333333333
"48","2014-2015",61301,78.3333333333333
"48","2014-2015",70301,105
"48","2014-2015",90301,105
"48","2014-2015",101001,79
"48","2014-2015",120301,101.666666666667
"48","2014-2015",190301,103.478003187027
"48","2014-2015",200202,85
"48","2014-2015",210401,231.153083028083
"48","2014-2015",221201,80
"48","2014-2015",230202,123.910100402644
"48","2015-2016",10201,67.5558927485135
"48","2015-2016",10204,200
"48","2015-2016",61301,70.5345211581292
"48","2015-2016",130201,40
"48","2015-2016",140201,40
"48","2015-2016",210401,229.918699186992
"48","2015-2016",210402,410
"48","2015-2016",210404,1064.54771807713
"48","2015-2016",221201,71.2907421696613
"48","2015-2016",230202,121.962316459132
"48","2015-2016",240201,40
"48","2015-2016",330202,127.524752475248
"48","2016-2017",10201,88.0882842571443
"48","2016-2017",61301,76.2738095238095
"48","2016-2017",90301,140
"48","2016-2017",101001,78
"48","2016-2017",130201,50
"48","2016-2017",210401,248.232716650438
"48","2016-2017",210402,414.254385964912
"48","2016-2017",210404,600
"48","2016-2017",221201,81.602422037231
"48","2016-2017",230202,140.618680473195
"48","2016-2017",341001,89.1983805668016
"48","2016-2017",390204,235
"48","2016-2017",430309,140
"48","2017-2018",10201,99.7864348704497
"48","2017-2018",10204,329.773020542433
"48","2017-2018",61301,96.25
"48","2017-2018",70301,150
"48","2017-2018",101001,88.8602941176471
"48","2017-2018",120301,141.591466607951
"48","2017-2018",210401,380
"48","2017-2018",210402,447.196261682243
"48","2017-2018",210404,935.766748276675
"48","2017-2018",221201,98.5478635378627
"48","2017-2018",230202,151.329837400635
"48","2017-2018",341001,95.1187882932426
"48","2017-2018",442004,900
"48","2017-2018",470201,100.027725083905
"48","2017-2018",480204,318.078256476333
"49","2013-2014",10201,35.8550428239712
"49","2013-2014",30201,35.8353510895884
"49","2014-2015",10201,59.5532750301701
"49","2014-2015",10204,142.602272727273
"49","2014-2015",61301,74.3932880260332
"49","2014-2015",70301,103.25
"49","2014-2015",90301,107.323232323232
"49","2014-2015",101001,73.5258296951314
"49","2014-2015",111401,250
"49","2014-2015",120301,102.10235131397
"49","2014-2015",160202,120
"49","2014-2015",190301,100.905962368505
"49","2014-2015",200202,73.5714285714286
"49","2014-2015",210401,226.603818823837
"49","2014-2015",221201,75
"49","2014-2015",230202,96.9609015634352
"49","2015-2016",10201,73.7784210592447
"49","2015-2016",10204,221.428571428571
"49","2015-2016",61301,72.6746375677114
"49","2015-2016",101001,74.186329588015
"49","2015-2016",120301,105
"49","2015-2016",130201,40
"49","2015-2016",140201,55.8823529411765
"49","2015-2016",210401,240
"49","2015-2016",210402,400.058203991131
"49","2015-2016",210404,1026.22148926655
"49","2015-2016",221201,72
"49","2015-2016",230202,129.958870214023
"49","2015-2016",341001,70
"49","2016-2017",10201,84.0062377149353
"49","2016-2017",61301,67.6555996695115
"49","2016-2017",90301,130
"49","2016-2017",101001,60
"49","2016-2017",130201,39.5376559714795
"49","2016-2017",210401,221.098039215686
"49","2016-2017",210402,310
"49","2016-2017",210404,600
"49","2016-2017",221201,74.7553070767589
"49","2016-2017",230202,125.405314860824
"49","2016-2017",341001,68
"49","2016-2017",390204,220
"49","2016-2017",430309,140
"49","2017-2018",10201,99.6458703876585
"49","2017-2018",10204,313.065408108284
"49","2017-2018",61301,97.5615635167272
"49","2017-2018",101001,93.5286103542234
"49","2017-2018",120301,138.644849890422
"49","2017-2018",210401,300
"49","2017-2018",210402,424.103773584906
"49","2017-2018",210404,923.09999108289
"49","2017-2018",221201,90.4020844672704
"49","2017-2018",230202,151.626537293173
"49","2017-2018",341001,90.5885482552386
"49","2017-2018",470201,97.4452722408257
"49","2017-2018",480204,313.384357152136
"50","2013-2014",10201,25.7940229888035
"50","2013-2014",30201,25.5499083143472
"50","2014-2015",1605,130
"50","2014-2015",10201,63.6316786859146
"50","2014-2015",10204,156.516129032258
"50","2014-2015",61301,69.5565247429533
"50","2014-2015",70301,101.875
"50","2014-2015",90301,101.10376395652
"50","2014-2015",101001,69.8768797953964
"50","2014-2015",111401,210
"50","2014-2015",120301,100.276575904513
